Author,Thread_Title,Content,Thread_URL,,,,,,,,,,,
DENFJ,Not being able let go of a friendship,"Hi there,

First time I post something here, even though I have read a lot of threads here.

I have something bothering me, and I would hope to receive some tips of how to develop and get through it.
I really have a tendency to get ""fixated"" over relationships several times. Like, I can't let go of a certain person and our relationship. Some of these times, I have kind of become scared as well, since I thought that I had developed feelings for the other person. However, I have come to recognize that I just obsess over our relationship very much. When I really want the friendship to work out, I get really devoted and want to do everything in my power to make it work. I think of every aspect and every possible scenario of how our friendship will develop. Still, there have been several times that these friendships have not worked out. Those are worst, since I kind of breaks me down thinking that I couldn't befriend that person, even though I did everything that I could. I can think about it for days and weeks without being able to let it go, until one day (maybe months later) when I finally just stop thinking about it. 

I sometimes think about if it has something to do with me wanting to help people, and get them to open up and feeling free and comfortable, (which I personally think that I usually help people with). 

Are there anyone else out there feeling the same way, and maybe someone that can hand me a tip about how to develop that treat?",https://www.personalitycafe.com//threads/not-being-able-let-go-of-a-friendship.1281075/,,,,,,,,,,,
CowardlyPal,I just ate 3 bags of doritos and now I feel like throwing up,Any advice would be appreciated,https://www.personalitycafe.com//threads/i-just-ate-3-bags-of-doritos-and-now-i-feel-like-throwing-up.1286221/,,,,,,,,,,,
Izo - neXus,How you prioritize?,"I have little knowledge about how Fe function works in real life (I'm INFP). I would like to know how ENFJ's prioritize relationships (friends, family, significant other)? I find Fe hard to understand because someone using Fe can make everyone feel welcome, cared for and understood. I usually chose to open up only to people I really trust and witb others I share little. I observed my bf ENFJ can talk about everything with everybody, depending on that person's disponibility to listen. I don't get this at all, how it's possible to talk with some people as they are very important in your life and wanting to stay in touch with them, daily/weekly, even though it's exhausting. I try to understand this.",https://www.personalitycafe.com//threads/how-you-prioritize.1285699/,,,,,,,,,,,
nikisan,Why do i seem attracting and attracted to ENFJ,"Today after 20 years. I have conversation with my ex and find out that he is ENFJ. He pursue me for five years back then in high school and college. And still cannot forget me and say he never find anyone like me. 
My latest attraction to a guy is also an ENFJ.

Trying to understand this..",https://www.personalitycafe.com//threads/why-do-i-seem-attracting-and-attracted-to-enfj.823370/,,,,,,,,,,,
zimmerman1979,New To Forum ENFJ-T /Introversion,"Hello all. I?™m new here.

I feel like I?™m more introverted the older I get. I watch more, listen more, weigh everything I say more. I was also an only child so I love alone time and spend much of my time reading or doing hobbies. However, I feel odd that I?™m an extrovert that often feels more introverted at times.

I?™m a female in a male dominated field. I do a lot of public speaking. I connect especially well when addressing groups - I am then in my element, though I don?™t necessarily like the lime light.

Maybe I?™m becoming more introverted, because I have such a low opinion of myself and my abilities. There are enormous barriers in my field due to my gender. This makes me more self conscious and frustrated. However, at the same time I constantly cover up my abilities because I know how I?™m perceived at times. So I feel incompetent even though I hide my abilities. However, I also feel bad because people get compared to me and they just don?™t have my gifting then I feel like I need to dumb myself down more. 

I also feel like a complete jerk much of the time. I sometimes think I?™m an ENTJ trapped in an ENFJ body. Some days I would just love to tell people that they are lazy bums or complete narrow minded jerks. However I, smile and connect because I also see good in even bums and jerks. ??????",https://www.personalitycafe.com//threads/new-to-forum-enfj-t-introversion.1286955/,,,,,,,,,,,
Cheeeese,ENFJs & Manipulation,"After looking more into the natural weaknesses of my type, I've noticed that one of our biggest problems is manipulation.

I may just be naive, but I've never really understood what this means. To me, that's a red flag, because I could just be unaware of it in myself and be hurting people without realizing it.

Basically, I just want to know personal experiences with this problem, and what it looks like in practice.

And if you've never noticed this problem before, what are other pro's/con's of ENFJs?",https://www.personalitycafe.com//threads/enfjs-manipulation.1524/,,,,,,,,,,,
Karkino,ENFJ Only Tritype Poll,"Hi there,

This is my ongoing questionnaire comparing MBTI to Enneagram Tritypes. This is a test poll as I will start the exact same post on each MBTI type sub-forums hoping to determine which Tritypes are more prevalent in certain MBTI types and which ones are less common. Any comments and thoughts on any posts are welcomed en encouraged. Thank you for your votes in advance.

Edit : I couldn't write all the Tritypes because of the 20 choices poll limit. Also, if you're still unsure of your Tritype but quite certain anyways, please vote the one that fits best.

Edit 2 : The numbers' order in your Tritype doesn't matter for the vote. So even if you don't see 271 in the choices, for example, please click on the standardized order (EG, 127).",https://www.personalitycafe.com//threads/enfj-only-tritype-poll.1288487/,,,,,,,,,,,
a peach,ENFJ Care and Handling User Guide and Manual,"Hello, fellow sweetheart ENFJs! ??I just came across a Care Manual for ISFPs and loved it so much, I started looking for other ""instructions"" to different types, and thought you might like to see it too! My apologies in advance if this has already been posted;; Post by foreveranevilregal@Tumblr. Original concept by intpboard@Tumblr.

ENFJ Care and Handling User Guide and Manual?‹Congratulations! You have been chosen by an ENFJ to be an important person in their life. Your ENFJ comes in color coordinated and aesthetically pleasing packaging perfectly suited to both your and their needs. Although your ENFJ does not need to be cared for in the traditional sense, here are a few tips to ensure the most harmonious interactions with your newfound extroverted idealist.

Your ENFJ comes with:

Ten (10) color coordinated outfits
Twelve (12) small fluffy animals of your ENFJ?™s preference
One (1) large box tea assortment
One (1) soapbox for speech-making purposes
One (1) electronic device for constant communication with others
One (1) newspaper subscription (most likely electronic) for staying up-to-date on current events and world affairs
Two (2) bookshelves filled with various types of literature
One (1) etiquette manual. Your ENFJ has never read it, nor have they ever felt the need to, but it has been included for your benefit.
One (1) burning life purpose that will Make the World a Better Place.
Custom upgrades: Your ENFJ will have some sort of creative hobby. Musical instruments, microphones, art implements, writing implements, and/or athletic equipment may also be included.


Software
Your ENFJ comes preprogrammed with the following traits;

Fe: Your ENFJ has an innate sense of how interpersonal affairs function and how one should navigate them. Keenly concerned with the state of others, both loved ones and humanity as a whole, your ENFJ strives to do what is best for others and maintain peace in their relationships. Your ENFJ will motivate, encourage, compliment, support, and comfort other people. Open communication is very important to your ENFJ, and trust is paramount.

Ni: Not only does your ENFJ care immensely about others, but they know exactly how to improve their lives. ENFJ units come with a preinstalled ?œlife purpose??program that presses upon them a deep burden to improve the state of the world in some way that is uniquely suited to their individual talents and abilities. Usually, this improvement can be directly connected to other people in some way. Do not try to argue the life purpose with your ENFJ. They have reflected upon it deeply and are certain that this is in fact what they want to do with their lives.

Se: Your ENFJ is aware of the world around them and its various sensory details. They are action-oriented and will take initiative to implement their plans for a better future. Generally, they will have good reflexes and appreciate pleasant and organizes surroundings. Decent at multitasking. Sometimes they will take too much upon themselves, which can lead to burnout.

Ti: This function acts as a filter for Fe and ensures that your ENFJ?™s words and actions are logically consistent, accurate, and appropriate. Depending on the particular ENFJ that has chosen you, the Ti filter may function properly to balance Fe, or it may malfunction and either be overly manifested in critical attitudes or be entirely absent and lead to irrational behavior.


Getting Started

Activate electronic device and place in your ENFJ?™s hand.
Make your ENFJ a cup of tea (preferably herbal).
Wait for the electronic device to register attempted communication from others.
Allow your ENFJ to drink tea and communicate with others until fully charged.
If step 4 does not work, initiate a form of physical contact, such as hugging or cuddling, with your ENFJ.
If for some reason your ENFJ is averse to physical contact, repeat step 4 but with the small fluffy animals arranged around them.

Modes
Friend Mode (default): Your ENFJ will want to befriend everyone they encounter. They will ask thoughtful and personalized questions to get to know the other person and want to establish a positive relationship with them.

Mom Mode (default): Your ENFJ is very concerned about others and whether or not they are taking care of themselves. Can often be found inquiring whether others have eaten, hydrated, slept enough, finished that thing they were procrastinating, are wearing weather appropriate clothing, have taken relevant medications, etc. Your ENFJ will do this regardless of whether the other person is younger or old enough to be their own mother.

Teacher Mode (default): Your ENFJ enjoys learning about the world, and sharing that knowledge even more so. They can often be found recounting an interesting article they read the other day or a cool discovery in a field that they like. Can be triggered by the phrase ?œI don?™t understand?¦â€? Your ENFJ will explain things in a way that you will understand. ENFJs are also prone to turning a difficult situation into a Teaching Moment.

Counselor Mode: Activated when someone is going through a difficult situation. Self-taught psychologists, ENFJ units innately understand how people work and will generally know how to be more helpful. Your ENFJ will validate and affirm the hurting individual and usually leave them feeling better. Warning: your ENFJ may give advice more than is necessary if relying too heavily on Fe and not enough on Ni.

Superhero Mode: Activated under stress. ENFJs have a habit of taking on more than they can carry, and it eventually takes a toll. Your ENFJ will insist that they are fine. Their eyes will glaze over and twitch if you question them about their activities. Asking them how they plan to sustain this schedule will probably induce tears. Beware. Your ENFJ has entered full delusion.

Pseudo-Introvert Mode: Activated under severe stress. Your ENFJ has become so overwhelmed that they are shutting down. Characterized by refusal to socialize, a marked reduction in activities, and unusual silence in their presence. Symptoms also include grumpiness, calmness, an insistence that they are ?œjust tired??or that ?œit?™s been a long week?? and increased need for sleep. Seek help for your ENFJ if they start to claim that they don?™t need others.

Manipulative Dictator Mode: If your ENFJ gains pleasure from controlling others or getting them to do things according to their will which others may not have chosen on their own, they are unhealthy. Perform a diagnostic check to ensure that all functions are in working order. Detoxification of Fe or Ni may be necessary.


Relationships With Other Units
NF: The easiest for your ENFJ to communicate with due to their naturally flowing and symbol-laden speech. Your ENFJ will appreciate their idealism and encourage them to follow their dreams.

NT: Slightly more challenging due to the strict rationalism present in NTs, but can get along on a conceptual basis if their ideas are complementary. Your ENFJ secretly admires NTs but knows that they can never admit it to one.

SJ: Can be somewhat difficult to communicate with due to the concrete and direct style these types employ, but your ENFJ will love them all the same and appreciate their loyalty.

SP: Your ENFJ will be fascinated by SPs and how they can do things so easily, and will want to hang out with them all the time. Do not let the SPs talk your ENFJ into skydiving. They?™ll claim they can handle it until they start screaming halfway out of the plane.


Feeding
Your ENFJ will claim that they have transcended basic human needs such as food. Your ENFJ is a liar who will get very cranky if they forget to eat. A glazed over expression, extended silence, or general withdrawnness can often be attributed to hunger. Feed regularly. Chocolate non-optional.

Grooming
ENFJs are generally fastidious about personal hygiene and have established a personal style of clothing/accessories/makeup. May occasionally leave the house without an accessory or mismatched shoes. If they are busy, help them by organizing the outfit they have chosen and ensuring that every component is there.

Sleeping
Your ENFJ will eschew sleep, as it limits time that could be spent socializing and doing things. Remind your ENFJ what happened the last time they slept less than 6 hours and that sleeping now will help them function better tomorrow.


Frequently Asked Questions
Is my ENFJ really that excited?

Generally, yes. ENFJs look for the bright side in every situation, and tend to genuinely enjoy the things they claim to enjoy. Lack of affinity for something will be signaled by a neutral yet diplomatic statement.

Does my ENFJ actually like me if they claim to love everyone?

You bet. ENFJs are very particular about being authentic in their remarks, and will tend to give praise specifically tailored to an individual. They will not tell you you?™re a great athlete if you?™re not. That being said, ENFJs look for the good in everyone and usually manage to find it. So yes, they do love everyone.

But if my ENFJ lives to care for others, they surely must not need care?

That?™s where you?™re wrong. Although ENFJs derive the most pleasure from caring for others, they need affirmation and appreciation to keep going and feel like their efforts aren?™t in vain. Be sure to regularly tell your ENFJ how much you appreciate what they do for you. You might find yourself with a pleasant surprise if you do.

My ENFJ isn?™t being very nice.

ENFJs are emotional, caring beings. They are not always nice. They try to be, but sometimes they snap. It?™s only because they?™ve been trying to keep it inside. Encourage your ENFJ to talk about negative feelings openly (this may take some persuasion, as ENFJs like to ignore negative feelings and pretend they don?™t exist) to prevent such an explosion.

Again, congratulations on your new ENFJ unit! Have fun!??,https://www.personalitycafe.com//threads/enfj-care-and-handling-user-guide-and-manual.1286643/
enfjeliot,hey all ENFJS i am new to this site,hi all beautiful ENFJS"," hw r u all? i got a suggestion from someone to make an intro thread so i gain 15 posts which will help me send private messages so my dear fellow ENFJS help me mainly ladies hehe""",https://www.personalitycafe.com//threads/hey-all-enfjs-i-am-new-to-this-site.1285585/,,,,,,,,,,
LadySophia,My ENFJ died... I can't... Get over it.,"My ENFJ love, passed away..... I feel like I've been hit over the head with a mack truck 


He had the most beautiful, deep, dark eyes and sweet smile; I loved resting my hands on his shoulders.... And kissing him when he wasn't expecting it.

But as he gave me back-hugs, when I had bad days, and kept saying, ""I'm here,"" ""It's okay,"" - that was truly the most magical thing!


He totally got me: best listener (ever), very, very sassy but also a sensitive... Talented singer... Creative and kind-hearted. Good sense of humor...

I idolized and respected him for 10 years. He was everything I wanted to be. He had this aura about them... Such a beautiful, airy, innocent energy. I used to think ""Geez he is going to go to heaven, God is just so obviously favoring him..."" idk

This ENFJ had an extremely hard life, his dad treated him like shit and he worked so much, at a young age that... I feel he lost himself... He was 27 when he died, but reminded me of a 15-year-old half the time. Most people just blend in and fit in with others, but my ENFJ, he never truly fitted in and you just felt it and so did he. 

But dealing with enough pain for 5 people didn't lead him to result to bad behavior. All our friends had the same thing to say about him: ""he is very hospitable.""

He wasn't perfect; he could be grumpy and really dramatic and too much of a people pleaser. Sometimes he would be depressed but had a indefinite answer about the ""why"". This made him have no sense of time and a bit of a handful to deal with at times. So I'd put in massive efforts to see to it that, he, instead of others, REALLY got his way. What can I say, seeing him proud and happy was better than eating chocolate cake.

I can go on... BUT he is gone. Badly I wanted to join him! But he came in my dreams and told me, ""I'm not leaving you"". 

Rubbing my hands down his sharp jawline, I recall and still feel him. Is this what they call a ""twin flame"" or whatever the hell that means, my beloved ENFJ-t. 

I almost flung myself off a building after he died. And I'm an optimistic, cheerful person - I just couldn't deal with the grief because I knew--I just knew, how can I replace him? I can't replace this ENFJ.

INFP's are terrible at ""getting over"" something. Am I too romantic and pathetic? 

We loved each other equally.

Sorry for my crappy grammar, I was using my phone. I just wanted to let you guys know how much I love you and all that.

Also, I am not a bias person but this ENFJ man was seriously the sexiest person alive. :blushed: I love ENFJs",https://www.personalitycafe.com//threads/my-enfj-died-i-cant-get-over-it.1285979/,,,,,,,,,,,
TypeOne,ENFJs unsure of the soundness of their own logic,"What do you think of the following statement?

Since ENFJs are ultimately unsure of the soundness of their own logic (Ti), they may unwittingly try to convince themselves through the act of convincing others. The more people they can convince that an idea is sound (Fe), the more confident they hope to feel about its veracity (Ti)]  https://personalityjunkie.com/enfj-type-profile/

Have you done this? Still doing it?
Are you unsure of the correctness of your own logic?
Does it bother you a lot?

And a scenario: have you ever learned something through study / Ti activity (like discovering something in a documentary), that happened to be a minority opinion / belief that you could not get approved by your family/friends. And what did you do? Did you stick to your newfound belief or did you forget about it?

Please answer one or more questions or just say something else about it.",https://www.personalitycafe.com//threads/enfjs-unsure-of-the-soundness-of-their-own-logic.1278881/,,,,,,,,,,,
Mynka,A turbulent ENFJ that started to become ENTJ - story by INFP friend,"Just thought I'd share this as I thought it was interesting. 

One of my best friends is a turbulent ENFJ and while spending a lot of time around thinking types in part of his course, he started to get ENTJ when he took the MBTI. Now as his INFP friend who had known him for a while my Fi was screaming definitely not ENTJ but to my amusement he told me all about how he was becoming more and more comfortable with the ENTJ profile as a depiction of himself. This guy is literally one of the most loving, kind, fun-centered people so it was kind of hilarious to hear him convincing himself he was a cold hearted commander, but I've also learnt to value his harmony so encouraged him to do whatever feels natural while suppressing the Fi. Anyway move on a year and he has come to his senses, but told me about how he felt himself connecting on a deep level during that period of his life with Voldemort, a classic ENTJ. He was going down a dark path :laughing::laughing:

Have any of you guys gone back and forth between types?",https://www.personalitycafe.com//threads/a-turbulent-enfj-that-started-to-become-entj-story-by-infp-friend.1265066/,,,,,,,,,,,
Asianaries,ENFJ's...do you prefer to date INFP or INTP's??,"I've been seeing an ENFJ for a couple months and we had just gone through a roller coaster ride and it's not always at it's best.  I believed he is seeing an INTP girl on the side and it's barely new.  The reason I am asking is because he flat out broke up with me and said that we have compatibility issues.  I get I'm an Infp and consistently need my space and he is EXTREMELY NEEDY.  Connection wise it is great when we are not arguing...but sometimes he overwhelms me.  

Since I am curious the connection between the INTP will be... since his new girl hits that profile.

I'm just asking because I'm curious",https://www.personalitycafe.com//threads/enfjs-do-you-prefer-to-date-infp-or-intps.1230593/,,,,,,,,,,,
Bumfuzzle,Relationships/Friendships with ENTPs,"What are your past experiences like?

Did you sometimes find that your opinions were quite similar, but your reasoning different? 

Would you ever frustrate each other? Why?",https://www.personalitycafe.com//threads/relationships-friendships-with-entps.1284955/,,,,,,,,,,,
Penny,ENFJ Poetry Thread,"So I thought we should have our own poetry thread. Please do post your poems. Here's one I wrote yesterday:

My Parents

My Father

He never said much growing up,
Not like now,
He goes on and on and repeats himself like a cuckoo clock,
Though no one can say he isn?™t supremely thorough in everything he does,
But I digress,
I don?™t remember anything he ever said to me as a child,
Except-,
All bad of course,
My father,
Who houses me from not too far away,
Pays for my car??
I guess it?™s his way of showing his love,
In any case I?™ll take it,
Since on my own I am homeless and broke,
Now I drive, and sleep easy,
For my father,
Who never not worked a day,
In his life,
Even though now he?™s retired,
He?™s not perfect,
He?™s done things I?™ve had to find in myself to forgive,
But??
He loves me,
And a lot of love is not something I have,
So I take what I get,
And know how I am blessed,
With the father I?™ve got,
Whom I?™ve grown to love.

My Mother

My mother has a touch of Obsessive Compulsive Disorder,
She cleans like she's on crack and stockpiles cleaning supplies like a doomsday bunker full of food,
It manifests too in other ways,
Like in how maniacly she plays, doing her thing,
Like marathon Mahjongg games and intense stretches of gardening,
My mother is sweet like candy I am so blessed,
To have a mother like her,
Even though she sometimes talks about people in a way they might hear,
Like when they are right there, way too near for what she is saying,
She?™s smart though in general,
Was top of her nursing class, even with a language barrier,
And she gives good advice,
I always regret when I didn?™t listen,
Except for when she told me to marry a rich man,
Instead I divorced a poor man and married a dog,
That's what I think of my new boyfriend at least,
My big doggy, he?™s a little more useful but not by a lot,
My mother is scared of his tattoos, they are grotesque,
Because of them she doesn?™t invite him over much,
She?™s funny like that,
But still, she occasionally makes him some food,
Ah yes, my mother,
Who took me fishing once where I caught a goldfish,
She always had a delicious meal ready,
And a girls??day shopping trip planned,
Yes, to me she?™s rich,
Not filthy rich but well off,
Except in love the flow is steady,
If I could say one thing to her, this I?™d say,
You?™ve taught me well, you?™ve always shown me the way,
For this how could I ever thank you or repay,
But know this, as we age, I will try.",https://www.personalitycafe.com//threads/enfj-poetry-thread.1280297/,,,,,,,,,,,
petrichor,Calling all Whovians! RE: Matt Smith,"I'm interested to know what y'all think Matt Smith's type might be. I am pretty convinced that he's an ENFJ, from reading biography stuff, watching interviews, etc. 

I think I've read somewhere that he plays 11 as an ENTP, which I can see for sure. That's all good and dandy, but I am really more interested in seeing what people think his actual personality type is. 

And if you have any other insights into the MBTIs of past Doctors, actors who played them, or supporting characters, go ahead and add them as well!

I await your answers!",https://www.personalitycafe.com//threads/calling-all-whovians-re-matt-smith.76532/,,,,,,,,,,,
lizw47,Met an Amazing Guy While Traveling Abroad,"I went on a backpacking trip for two months this summer across Europe. Before I went I did a tarot card reading that said something to the effect of ""you'll meet the love of your life while traveling across water."" Interesting side note if you are into that kind of thing 

I'm 29 and my type is INFJ by the way.

Okay so the very last city I visited is Amsterdam. I wanted to see the Netherlands, but was also sketched out by the idea of Amsterdam. I'm admittedly a very good girl -- I don't drink, smoke, do drugs, party. So I was not at all into the pot and prostitution scene that many people go to Amsterdam for. When booking my trip, I found a Christian hostel in the city and was like ""Score!"" It was right up my alley. The whole place is covered in Jesus artwork, there's Bible readings, you get the idea. And it's all Christian volunteers who run the place. 

First night there I get checked into the hostel by a supppeerrrr cute guy. He asked me where I was from (the United States). He went to college in the United States so we spent time talking about that, his time in college. We talked about my trip so far. I went to bed after he checked me in.

I'm going to guess he is ENFJ based on the behavior I saw in two days but don't shoot me if I'm wrong 

The next day he was working in the restaurant of the hostel and we spent time talking with each other. Mind you this is a small little cafe, think like a Starbucks size cafe where the hostel is serving food. He asked me about what I majored in, I told him religious studies, he acted like he hadn't really heard of it before so he wanted me to explain to him more about what religious studies entails. He asked me if I was a practicing Christian -- obviously something important to him as a Christian himself. 

He asked me ""So, what did you do today?"" He wanted to know every detail about what I had done that day sightseeing, so I told him about the places I went and he asked more questions. 

He is engaging me in all of this conversation while he is working. 

At one point he mentioned that he played guitar and he got up to play two songs in the restaurant -- SWOOOOON! He told me his first and last name, that he had music up on some social media sites, that he had made some CDs in the past. 

At one point I get up and order a hot chocolate and a snack from him. He gives me his instructions for ""his favorite way"" to enjoy it. After I'm finished he asks ""How was it?"" My style of flirting is just to be cute and joke around. I say ""It was the best one you ever made me."" (It was the only one he ever made me) He laughed and smiled hugely at me and said ""True!"" 

He's leaning forward over the counter of his cafe as we're talking. At one point he grabs a chair at the table where I'm sitting at and sits down to talk to me. While he's working. 

- Mind you, he's not talking to anybody else in the restaurant
- He's not asking anybody else how they enjoyed their meals
- He's not asking other people what they did that day. When is the last time you were at a hotel and the staff came up and asked you to run through a commentary of everything you did that day? Nobody does that. 
- Why would he ask if I was a practicing Christian? Guys ask girls about things that are important to them to see if values align.
- He's talking to me while he is supposed to be working so he's multitasking

I just have always believed deep down that when I met somebody, I would just know, things would just click. And it's hard to describe but with him I just felt this ""click"", it was an instant thing. 

He was very outgoing, very friendly, the type of person you could tell everybody loves. His coworkers were coming up to him and starting conversations with him, smiling. You can tell he is very friendly and has just a beautiful soul. (One of the things I hate about extroverts -- you feel special around them, but they are friendly with everybody, so can't tell if you are important to them or not). 

About 11 pm I left the restaurant. He saw me getting up and he goes ""Are you going to bed?!"" I said yes and he smiled and said ""Goodnight."" 

Unfortunately I only had a couple days in Amsterdam and that was all I got to see him...

But I have his social media that he gave out. And, my understanding is, if somebody gives social media, it is not overstepping any bounds to reach out, correct?

I went on his YouTube (he has videos of him singing and playing music) and made a comment on one of his videos. 
It was of course a very nice comment, reminding him who I was and saying that I thought the video was good.
A few days later I found that he had deleted the video from his YouTube. (??????)
Okay, that hurt my feelings.
Did he delete it because he didn't want my comment seen? Or because he is insecure and decided he hated the video? 
Was he flirting with me back at the hotel? Or was he just being friendly because its the Christian thing to do? 

I sent him a Facebook friend request but it has been two weeks and he has been ignoring it. 

I'm just really perplexed by the whole situation.
This guy is a very sweet kind Christian guy, and I know that he would never intentionally hurt somebody, and honestly I did not think he would do something like delete my comment or ignore me. 
Also we got along so well in person that I thought he would at least reply to my comment. 
Also he gave me his social media so... its not like I'm out here stalking him. He gave me his first and last name. 
I still have access to his Instagram and YouTube and those are public and I can follow him even if he doesn't want to be friends lol.
Ahhhhhh I'm so confused.",https://www.personalitycafe.com//threads/met-an-amazing-guy-while-traveling-abroad.1284407/,,,,,,,,,,,
Haludh,"Fellow ENFJs, how do you relate to Ti?","Growing up with my brother, an INTP, my shitty logic was often pointed out to me. Over time, I've come to fixate on whether or not what I'm saying makes sense; in person, that manifests as a refusal to explain myself, knowing I won't be able to organize my thoughts on the spot; online, it manifests as taking ages to write up posts (triple-checking grammar, restructuring sentences to maximize clarity, etc.). I find that my Fe and Ti have an inverse relationship where allowing my Fe to do whatever it wants subtracts from my ability to utilize Ti and focusing on Ti issues inhibits my expression (Fe).

Do you experience Ti similarly? If not, how do you experience it? Have you managed to strike a balance between Fe and Ti?",https://www.personalitycafe.com//threads/fellow-enfjs-how-do-you-relate-to-ti.1279217/,,,,,,,,,,,
orangesunset1,What do male ENFJS think of female intps?,I'm curious to know how male ENFJS feel about female INTPS?,https://www.personalitycafe.com//threads/what-do-male-enfjs-think-of-female-intps.1254178/,,,,,,,,,,,
Cation,ENFJ as a thinker,"Hello all,
Being an ENFJ I have of course read many descriptions of ENFJ's online so have a general idea of the picture often portrayed of us. I have reached the conclusion that while I am most definitely an ENFJ indeed and reflect many of the traits, I am rather atypical in that I seem to perhaps be a little more on the thinking side than other ENFJ's. (?) 

I would say I am a stereotypical ENFJ in that I am very idealistic and outgoing, take on leadership roles and care very much about others wellbeing and also how they perceive me etc.

However, I can often be somewhat cold or less like the textbook ENFJ. In certain situations I am far more matter-of-fact than 'sappy'. In an argument, I am often told that I am very quick to see holes in others' arguments and approach things in a very factual or objective way, without necessarily considering feelings - and am capable of ""ripping to shreds"" points of view that do not seem logical or well-thought out. I don't always make decisions based on feelings and I am easily able to switch off the sappy idealistic side and focus on plain facts and logic. I feel myself being able to ""switch off"" this side to me and revert to the smiley lovey side when I please - I find it confusing to use both sides at the same time. I suppose I am somewhat mature in some aspects for someone of my age. But I have no real way of being able to tell as I'm still young. Without the intention of bragging, I have always been high-performing in studies, mostly higher than peers with the ""smart"" types too e.g. INTJ, INTP. My closest friends are thinkers - an INTJ and an ENTP, and I feel that I often relate to them even more than my fellow NF's.  I am not very touchy-feely at all, not much of a romantic and was brought up in a strict household which was not particularly affectionate.

I'm not quite sure of this and would appreciate if those of you well-versed in functions etc or who were older (as I am a little on the young side :wink could help explain why I display certain traits. I very much appreciate any insight anyone could offer to help me understand myself a little more.  (e.g. more developed Ti? Upbringing?)
Thanks!",https://www.personalitycafe.com//threads/enfj-as-a-thinker.1281095/,,,,,,,,,,,
Robert2928,Why do Fe doms avoid and/or dislike conflict?,"Chances are if you are somewhat familiar with cognitive functions that you associate Fe with ""social harmony."" Basically Fe doms (ENFJs, ESFJs) strive to maintain social harmony by being agreeable, even to a fault. Like seriously the lengths that Fe doms will go through to avoid conflict is amazing. I should know because I have done it and still do it to this day. For the benefit of our none Fe dominant people, can you explain what it is about conflict you don't like and why you avoid conflict?",https://www.personalitycafe.com//threads/why-do-fe-doms-avoid-and-or-dislike-conflict.1250130/,,,,,,,,,,,
agodofhisownworld,What are the signs an ENFJ likes you?,"INFP here. I like an ENFJ and I can't read her at all...shes always really nice and supportive of me. Flying out to see me, buying me gifts, writing me postcards, etc. She's really great to me. But I can't tell if she has any romantoc feelings for me. What are the signs an ENFJ likes you romantically?",https://www.personalitycafe.com//threads/what-are-the-signs-an-enfj-likes-you.1283243/,,,,,,,,,,,
Karkino,Interaction styles of ENFJ (In-Charge) vs ESFJ (Get-Things-Going),"According to Linda Berens' Interaction styles Theory, ENFJ are classified as have an In-Charge communication style, which give them a desire to accomplish results, often as quickly as possible through people. They also tend to mobilize groups towards defined goals and have a knack for noticing what's wrong with their environment. 

On the other hand, their sensing counterpart (ESFJ) are put in the Get-Things-Going communication group. While they do possess the same enthousiasm shared by the dominant extroverted feeling function both found in these 2 types, ESFJ are more preoccupied by influencing and involving others in various activities. They are more of a people person than In-Charge types because of their inherent communicative and expressive talents.Types with this interaction style enjoy conversation and try to get as many people involved in the action, hence the name.

Most types paired with In-Charge interaction style are thinking and judgment types (ESTJ/ENTJ/ESTP/ENFJ);
Most types paired with Get-Things-Going interaction style are feeling and perceiving types (ESFJ/ESFP/ENFP/ENTP).

In short, ENFJ tend to naturally go for a leading position, striving for quick and efficient results; ESFJ will try to get everyone involved in an activity, hoping to facilitate its process.

What are your thoughts on this particular topic, and if you identify with ENFJ of ESFJ, do you feel that those behaviours align with your everyday activities and/or mindset?",https://www.personalitycafe.com//threads/interaction-styles-of-enfj-in-charge-vs-esfj-get-things-going.1123041/,,,,,,,,,,,
